Variable:,pr,,,,,,,,,,,,,,,,,,,,
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,Friuli-venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-alto Adige,Umbria,Valle D'aosta,Veneto
2006,738.85,630.63,552.49,492.54,577.91,791.93,947.3,629.23,855.1,982.94,672.32,610.42,965.97,592.71,399.17,388.28,715.25,1025.67,666.67,1028.01,857.27
2007,760.18,667.84,606.97,529.06,619.64,813.33,952.81,657.15,774.07,983.82,726.15,642.82,893.92,620.58,434.81,392.77,737.18,1022.32,716.55,980.6,865.24
2008,735.57,621.77,552.22,464.37,564.15,775.67,960.81,609.22,876.13,956.6,701.94,603.13,976.72,600.59,405.2,329.45,708.52,1023.3,694.65,1050.56,868.73
2009,819.1,729.14,663.47,524.53,678.4,887.22,1027.92,700.28,967.22,1074.64,781.27,686.89,1036.79,692.36,471.8,385.15,794.82,1142.35,770.53,1082.01,902.72
2010,796.42,711.05,615.08,494.3,625.36,859.28,1035.65,663.01,838.21,1015.72,776.91,672.76,974.33,649.81,468.48,356.4,785.16,1113.36,748.21,1062.19,931.79
2011,775.85,705.01,671.53,557.6,666.93,803.94,961.73,668.47,811.54,979.13,724.42,694.94,908.75,682.15,426.7,394.4,731.08,1065.09,708.81,1008.88,895.67
2012,757.31,620.58,570.19,515.23,572.78,813.2,981.65,639.64,824.16,985.7,689.75,585.17,928.24,626.75,472.68,402.24,715.43,1074.21,677.09,992.14,880.47
2013,755.76,675.39,586.88,465.11,613.06,801.85,979.34,642.05,879.58,1004.52,717.07,664.04,1008.9,607.32,377.87,368.81,718.36,1062.06,706.83,1143.23,850.23
2014,773.77,694.48,620.26,517.19,652.3,793.27,959.05,672.54,874.98,1033.57,675.31,686.21,1013.08,666.41,453.8,350.44,708.34,1064.93,685.54,1118.21,843.91
2015,721.44,624,579.91,457.18,594.97,780.56,891.45,614.07,815.48,943.14,681.24,625.39,946.78,609.69,406.06,357.95,705.63,961.76,674.43,1032.19,816.66
2016,780.22,677.14,595.96,477.31,633.9,851.45,997.43,686.17,863.78,1036.71,704.04,656,999.45,621.81,449.36,331.81,743.75,1138.97,733.5,1141.76,917.74
2017,790.99,669.9,589.65,503.67,591.45,873.33,1029.56,657.58,890.14,1056.47,762.78,611.98,1009.55,617.54,401.08,382.36,768.69,1126.57,745.58,1097.54,945.64
2018,775.94,662.26,564.22,517.37,607.78,837.45,1046.77,638.36,855.06,1055.22,722.24,639.13,974.69,596.53,374.2,366.66,730.54,1134.55,706.14,1063.49,929.95
2019,805.35,693.22,601.74,470.08,624.94,939.16,1066.4,643.51,927.94,1062.15,782.01,635.06,1017.86,624.07,414.94,350.02,784.56,1095.69,733.42,1174.54,1038.29
2020,813.6,705.49,666.2,542.34,669.15,887.61,1036.2,674.29,888.47,1086.62,728.62,665.75,1007.75,673.91,434,374.69,754.04,1139.03,719.01,1093.64,986.46
2021,791.76,705.25,642.09,507.14,679.27,858.13,1015.47,699.45,911.46,1053.06,726.15,720.96,1031.47,631.88,431.08,356.07,755.32,1095.23,732.37,1119.92,928.52
2022,733.86,604.95,570.44,518.73,574.12,760.57,968.36,592,833.38,962.17,634.71,578.79,948.36,594.42,413.27,386.99,672.71,1024.12,641.84,1035.81,887.27
2023,783.81,661.58,647.12,592.48,650.21,812.17,989.7,664.82,886.1,1033.43,691.66,667.76,1021.97,668.58,433.18,449.42,741.34,1048.79,704.42,1139.35,879.11
2024,760.82,709.97,670.96,521.42,682.11,775.14,919.96,678.98,838.95,942.53,708.06,710.64,955.51,697.22,439.25,390.93,722.6,985.46,706.72,1103.16,818.07
2025,730.88,636.53,553.76,450.59,568.41,747.95,937.62,572.51,818.85,963.03,677.97,611.36,949.08,615.53,421.86,332.44,661.52,1023.14,628.31,1056.37,815.1
2026,746.77,626.31,582.45,451.65,603.69,795.42,986.96,590.14,843.83,1009.8,710.81,629.33,965.98,595.8,393.29,344.41,693.7,1059.43,673.37,1018.85,877.3
2027,731.19,659.76,539.33,437.89,596.59,786.83,967.07,628.19,811.94,962.86,698.44,630.66,931.9,575.98,403.4,336.44,694,1025.33,681.59,999,848.71
2028,751.58,715.84,629.51,497.77,624.55,801.64,931.65,669.09,860.58,938.89,731.57,659.64,945.62,668.79,434.01,337.91,731.92,964.66,738.17,1018.38,864.01
2029,701.73,566.64,523.78,448.41,527.28,735.83,934.7,549.44,814.86,953.54,625.64,549.62,915.9,563.69,394.7,321.24,639.71,1036.52,600.66,999.9,797.02
2030,746.61,595.4,566.87,493.4,573.24,802.43,987.06,574.49,797.23,1000.89,672.89,580.65,938.92,591.21,409.91,376.11,700.67,1052.42,640.29,1088.46,889.01
2031,744.77,623.31,619.88,520.82,607.95,760.7,957.26,594.82,814.19,972.88,667.13,610.14,953.8,654.76,384.57,351.97,666.91,1025.32,645.09,1036.59,879.67
2032,772.71,690.08,631.18,546.6,647.31,833.13,995.42,663.11,849.89,984.4,728.85,683.79,931.57,647.18,415.38,411.81,741.9,1071.57,723.11,1024.2,912.95
2033,688.73,529.02,499.59,433.73,515.15,751.63,933.18,516.85,784.57,936.71,617.6,509.18,910.6,538.42,357.05,317.39,611.43,972.05,586.26,1008.14,824.35
2034,801.1,708.07,628.68,533.87,649.04,847.74,1023.9,672.06,873.49,1029.24,750.66,670.12,1037.09,672.98,458.35,401.72,743.38,1116.76,714.27,1159.16,884.97
2035,714.65,614.23,582.89,461.22,573.61,739.18,929.09,592.27,786.94,942.11,652.22,588.4,894.61,600.32,373.11,299.32,657.65,1012.35,651.39,1003.8,840.88
2036,793.45,674.84,562.81,436.56,625.35,880.61,1024.42,653.28,977.09,1097.75,747.7,674.36,1083.02,603.25,422.86,341.11,760.96,1144.86,716.77,1180.29,918.1
2037,736.06,616.72,539.51,459.82,575.75,836.87,994.67,626.01,826.48,970.52,653.16,600.28,897.63,572.06,394.97,345.94,705.72,1072.6,648.55,982.76,908.65
2038,740.99,616.08,609.7,525.69,619.59,758.73,918.57,595.27,861.96,995.22,651.53,600.74,985.94,623.23,466.25,407.79,662.89,1031.08,623.55,1110.68,766.76
2039,788.16,668.77,588.67,483.89,636.41,827.55,1032.31,652.15,908.96,1067.45,703.63,678.55,1060.17,612.85,423.76,373.43,725.4,1127.08,688.85,1158.55,921.9
2040,745.01,640.75,601.9,449.3,629.83,796.63,939.09,640.81,865.61,988.55,702.98,633.87,964.25,596.14,400.29,340.95,725.72,1031.63,687.78,1034.23,862.18
2041,743.2,654.53,548.63,439.7,580.06,804.06,984.21,629.47,825.7,998.06,697.11,624.38,947.16,588.48,402.12,339.58,726.75,1067.05,695.98,1059.75,872.83
2042,758.71,674.66,565.65,451.75,582.61,783.53,1004.73,599.4,829.4,990.43,750.02,641.12,954.33,611.48,403.76,334.14,707.14,1099.81,684.23,1019.77,916.25
2043,754.82,623.35,601.95,528.73,597.47,815.1,992.64,615.83,851.45,971.72,696.16,600.78,958.2,609.22,448.27,399.74,710.48,1017.41,678.31,1006.9,911.18
2044,758.03,712.59,585.94,470.5,617.35,742.54,987.51,649.69,793.76,988.54,721.17,653.39,944.93,614.57,423.57,360.92,655.84,1061.57,717.55,1034.17,880.81
2045,779.78,666.09,628.39,522.84,627.92,858.91,1037.27,626.93,870.71,994.25,724.92,652.25,950.19,650.5,434.35,410.83,750.46,1099.67,680.5,1022.86,939.48
2046,709.29,582.07,464.83,393.41,512.88,794.87,956.55,542.64,813.17,1002.54,644.74,550.03,962.13,517.46,344.63,299.28,667.74,1029.77,614.89,1066.27,863.98
2047,767.94,661.72,588.17,501.8,614.47,855.9,988.9,639.87,811.72,974.68,735.54,631.85,913.74,625.11,464.55,418.36,765.16,1026.69,700.05,987.96,926.09
2048,758.85,663.33,579.54,532.19,597.77,806.81,959.74,635.65,841.26,982.68,728.42,617.47,961.15,621.88,440.14,381.48,733.44,1067.64,711.85,1021.37,847.93
2049,787.57,670.84,596.81,510.75,629.58,830.85,1025.17,627.22,888.3,1065.06,706.59,627.65,1008.55,627.55,410.58,366.6,698.03,1131.1,677.55,1085.42,932.65
2050,743.69,635.22,590.4,489.75,599.63,805.56,936.03,591.7,797.02,976.75,689.65,590.68,938.13,616.22,389.82,356.13,664.51,1024.64,645.08,1076.38,869.22
2051,704.09,573.76,519.31,414.21,557.89,754.62,931.98,582.9,824.7,973.53,622.36,562.4,954.84,538.1,383.81,315.42,666.35,1043.95,622.85,1095.84,800.04
2052,785.79,662.83,564.33,485.8,594.38,874.8,1021.46,633.61,902.74,1061.44,748.84,633.87,1013.96,596.82,399.74,366.67,774.58,1121.31,725.27,1114.29,909.39
2053,747.08,644.11,545.57,471.86,581.92,823.23,977.91,605.13,824.64,985.58,691.02,629.43,943.19,597.6,404.44,333.3,694.48,1057.08,658.15,1042.05,902.27
2054,769.12,677.54,623.14,525.27,634.26,802.63,989.47,642.88,876.26,997.66,712.13,677.16,994.45,650.63,414.66,384.37,707.99,1074.82,700.94,1050.72,854.64
2055,780.28,674.16,622.72,490,642.32,850.32,980.61,649.35,898.29,1030.78,725.87,664.3,995.48,669.45,461.93,355.33,718.89,1058.04,699.81,1108.1,895.68
2056,758.86,645.86,586.46,485.84,586.44,792.5,976,631.31,812.88,1008.13,709.18,605.78,996.25,621.11,448.6,333.29,706.22,1049.16,686.8,1109.96,875.83
2057,751.3,620.14,551.83,499.38,578.7,810.15,957.97,619.4,883.5,1006.98,673.4,570.95,1011.91,570.08,441.14,385.43,698.88,1054.82,651.16,1113.31,865.21
2058,693.7,612.3,508.6,434.7,550.94,717.48,900.1,566.66,764.74,922.11,671.41,582.11,888.99,559.79,383.03,295.35,633.96,1013.94,637.69,959.3,750.4
2059,739.11,643.6,537.45,423.62,536.02,768.83,955.58,578.96,844,993.92,701.39,573.78,996.23,580.68,395.17,329.15,671.78,1101.61,682.87,1048.89,789.3
2060,789.96,714.1,641.39,533.29,670.5,837.79,997.68,667.17,896.13,1007.57,756.58,691.64,971.68,689.61,388.05,357.22,738.44,1079.94,721.68,1042.14,924.87
2061,776.53,646.76,591.16,494.74,591.91,824.46,1027.85,608.73,840.32,1042.72,689.45,616.75,974.93,623.22,415.61,373.94,686.83,1125.45,656.3,1087.36,910.89
2062,779.11,699.82,575.52,449.14,623.73,859.7,1038.98,644.49,897.25,1009.1,768.25,675.95,986.26,622.91,421.26,338.13,746.4,1079.23,723.87,1052.98,936.48
2063,770.42,659.52,548.55,438.93,575.95,872.98,1040.89,627.2,879.51,1025.41,732.26,623.07,1001.49,599.31,428.21,302.56,761.92,1079.35,703.82,1110.03,953.66
2064,764.51,672.01,628.04,505.16,617.49,800.37,981.24,628.43,820.68,952.77,739.67,649.04,953.34,687.72,417.98,342.12,709.89,1024.12,690.29,1047.98,868.66
2065,766.41,671.97,566.28,466.82,595.47,797.74,963.47,658.05,824.13,1026.26,738.51,635.45,965.16,619.33,423.56,345.14,754.39,1077.5,715.96,1070.17,875.45
2066,773.9,633.64,610.64,540.95,604.32,836.92,999.16,600.83,871.73,1019.91,693.81,617.2,962.56,624.58,426.97,416.1,728.84,1124.6,659.58,1015.82,884.63
2067,783.37,669.83,646.52,545.8,640.65,855.41,1015.06,650.02,859.91,994.04,735.51,652.57,951.86,659.38,420.34,387.81,736.41,1098.58,715.52,1055.89,957.39
2068,753.28,672.29,565.63,467.41,592.25,795.25,945.71,614.78,850.79,990.31,717.69,632.05,990.71,607.26,442.91,386.2,677.95,1059.56,680.27,1074.05,826.15
2069,738.46,643.06,536.56,495.75,563.69,749.15,940.61,600.97,810.42,984.95,683.28,590.21,956.7,590.75,405.13,392.03,669.22,1027.12,651.62,1071.93,871.01
2070,766.41,639.65,547.95,438.29,574.87,828.27,1041.97,597.83,852.47,1061.77,710.19,602.51,983.33,594.61,369.02,326.31,712.26,1133.32,684.3,1075.31,907.85
2071,772.72,665.08,604.16,475.8,595.24,817.9,1021.23,605.89,909.47,1041.09,708.95,603.75,1012.65,633.17,392.66,366.44,695.81,1097.46,669.53,1082.1,884.57
2072,762.1,659.86,566.11,466.5,603.01,817.13,996.54,661.27,887.28,1004.49,716.67,634.57,1011.31,593.62,433.27,385.72,734.15,1051.36,699.95,1092.64,885.69
2073,778.64,675.6,602.36,481.03,640.59,858.68,959.24,656.96,940.03,1050.78,727.59,670.92,1052.5,624.32,458.78,368.13,761.99,1074.6,708.99,1100.9,875.46
2074,726.48,635.64,573.93,461.59,599.25,745.16,946.52,580.1,737.66,969.13,680.69,627.85,877.77,601.57,376.79,347.98,645.66,1060.93,639.86,968.3,843.1
2075,750.05,618.42,537.79,392.68,552.83,803.61,994.11,578.59,910.55,1061.11,680.89,576.83,1034.2,560.98,409.49,305.22,705.48,1131.15,639.15,1119.62,916.86
2076,735.36,639.82,559.85,430.52,592.15,785.83,927.56,608.42,855.4,993.97,674.94,591.6,961.88,583.99,413.7,336.75,703.64,1026.91,655.87,1079.92,842.96
2077,735.45,617.96,543.56,434.24,537.46,795.05,949.19,577.77,851.66,992.17,689.21,567.21,961.35,601.76,388.49,313.03,691.71,1064.96,649.91,1025.81,851.71
2078,684.27,601.88,512.27,424.04,534.67,700.45,907.47,582.08,704.11,899.62,670.38,549.36,851.49,537.21,325.75,310.22,627.8,967.89,647.54,959.15,788.07
2079,688.03,582.34,558.5,453.91,553.3,709.26,880.71,579.76,758,918.47,636.45,563.27,891.57,564.76,386.32,304.83,640.6,976.86,624.18,1006.17,762.22
2080,706.7,568.32,534.68,450.31,529.57,771.69,996.39,545.31,876.71,965.93,666.75,556.32,958.23,563.46,364.08,307.17,651.55,1019.32,635.81,997.35,835.02
2081,710.4,593.81,592.21,449.68,586.3,720.88,959.58,584.78,755.77,944.12,624.55,621.1,897.38,608.86,359.68,338.57,646.58,1028.11,626.12,1039.06,785.34
2082,670.99,536.4,471.05,444.62,506.96,716.26,898.3,536.88,756.05,897.61,606.04,511.47,874.49,508.07,360.54,310.81,610.31,991.45,575.09,948.36,800.63
2083,734.78,616.41,572.48,476.43,601.38,789.09,969.96,602.37,781.26,991.84,668.29,623.16,933.19,594.89,343.98,313.19,658.59,1074.18,640.43,1029.16,897.65
2084,754.98,645.56,594.47,478.4,627.25,804.75,950.75,628.05,898.57,1011.88,663.42,634.17,971.65,652.6,450.8,328.92,723.56,1063.96,653.29,1053.27,812.61
2085,737.27,635.1,554.94,472.79,571.78,760.08,1000.72,614.83,830.35,977.66,688.21,589.96,1005.63,572.34,404.04,341.89,676.26,1059.96,677.28,1075.22,827.66
2086,714.86,670.22,554.7,397.78,586.8,740.8,961.34,615.09,784.07,948.68,687.42,637.24,906.12,565.71,364.46,282.87,687.34,1037.93,674.73,991.59,845.79
2087,735.35,601.59,534.92,437.85,539.29,790.77,969.79,563.4,835.87,1012.57,668.18,560.46,942.24,568.2,388.92,320.1,666.84,1112.43,624.49,1007.95,873.17
2088,717.73,599.04,492.76,395.01,523.32,803.63,946.84,588.3,845.94,981.33,681.05,566.48,949.03,537.29,381.35,310.98,702.93,1033.2,668.13,1026.43,872.94
2089,779.76,675.79,602.28,512.37,625.21,808.31,1020.81,624.72,824.58,1046.73,719.9,665.92,991.58,648.32,384.93,391.62,705.19,1096.59,696.95,1072.13,893.85
2090,707.34,621.24,567.82,467.01,574.88,752.07,921.34,593.9,747.2,911.1,668.17,586.14,872.48,588.25,440.56,339.95,687.08,955.4,644.96,967.75,819.21
2091,673.49,554.58,489.64,420.34,511.76,728.48,915.21,526.11,766.49,910.77,609.55,542.36,872.89,536.65,368.47,305.63,618.95,958.41,576.8,970.26,821.99
2092,785.41,660.99,585.04,476.57,618.19,854.5,1047.2,672.24,897.37,1030.93,738.87,638.69,969.18,623.46,426.75,331.23,762.54,1123.63,726.06,1060.1,926.26
2093,714.49,601.04,551.57,493.8,563.04,741.61,907,595.02,811.98,948.8,643.53,579.81,926.2,591.76,409.41,352.53,658.28,1012.59,633.57,1009.31,773.76
2094,740.87,616.34,534.39,436.92,553.7,821.9,975.38,597.37,872.18,1015.07,683.5,572.1,982.99,558.52,372.72,331.65,702.69,1085.61,671.07,1051.82,852.65
2095,668.2,538.57,450.86,388.47,459.09,692.17,923.32,501.17,726.72,909.44,622.69,483.72,894.53,468.46,369.74,288.83,605.26,1034.91,574.15,1006.45,718.14
2096,774.85,676.45,603.57,468.08,648.54,853.46,1021.75,665.32,846.42,1018.85,708.69,685.75,1015.6,613.95,436.39,340.31,756.89,1091.64,696.34,1090.64,945.08
2097,739.66,671.38,593.3,484.9,632.98,755.41,987.51,631.54,767.13,937.97,687.76,637.1,867.04,583.3,444.27,353.3,676.03,1075.74,672.13,985.94,875.77
2098,761.89,650.79,545.64,453.52,563.82,786.48,998.36,622.94,841.24,1008.56,736.8,595.27,990.04,599,403.52,352.78,708.61,1121.12,681.23,1098.8,857.49
2099,718.73,592.14,560.33,471.51,572.17,745.77,947.09,568.1,820.79,993.01,645.6,575.85,938.77,539.33,404.68,350.83,657.83,1057.28,613.84,1043.57,819
2100,769.86,656.94,586.73,463.96,608.93,813.08,1014.09,628.11,859.29,1063.15,715.3,634.34,990.82,595.37,407.74,339.73,716.24,1098.46,699.55,1081,915.29
