Province,Year,Projected Precip,Projected Temp
California,2006,537.67,14.8
California,2007,611.05,14.82
California,2008,601.29,14.63
California,2009,599.05,14.78
California,2010,589.81,14.91
California,2011,624.75,14.9
California,2012,587.52,14.79
California,2013,593.13,14.75
California,2014,608.6,14.85
California,2015,616.62,14.99
California,2016,564.53,15.27
California,2017,610.45,15.16
California,2018,627.4,14.95
California,2019,608.45,14.96
California,2020,601.08,15.15
California,2021,573.04,15.18
California,2022,618.41,14.99
California,2023,546.46,15.24
California,2024,537.27,15.35
California,2025,559.56,15.15
California,2026,534.33,15.08
California,2027,649.32,15.09
California,2028,599.45,15.21
California,2029,598.06,15.31
California,2030,558.4,15.2
California,2031,688.35,15.21
California,2032,597.43,15.26
California,2033,503.41,15.19
California,2034,507.6,15.42
California,2035,594.0,15.08
California,2036,510.29,15.17
California,2037,599.28,15.55
California,2038,525.24,15.72
California,2039,531.82,15.35
California,2040,570.29,15.64
California,2041,605.53,15.81
California,2042,704.58,15.71
California,2043,609.01,15.72
California,2044,665.93,15.68
California,2045,560.29,15.61
California,2046,669.31,15.86
California,2047,597.15,15.92
California,2048,581.25,16.03
California,2049,653.12,15.8
California,2050,552.39,15.72
California,2051,624.9,16.09
California,2052,522.54,15.96
California,2053,623.84,15.88
California,2054,593.52,16.16
California,2055,645.89,15.86
California,2056,554.24,16.04
California,2057,601.66,16.17
California,2058,577.5,16.27
California,2059,646.74,16.1
California,2060,526.22,16.2
California,2061,514.5,15.99
California,2062,641.65,16.29
California,2063,485.49,16.11
California,2064,547.29,16.42
California,2065,587.69,16.42
California,2066,570.11,16.39
California,2067,587.56,16.43
California,2068,687.6,16.42
California,2069,556.32,16.75
California,2070,565.19,16.61
California,2071,599.54,16.6
California,2072,678.02,16.42
California,2073,588.38,16.45
California,2074,567.65,16.7
California,2075,530.3,16.81
California,2076,570.83,16.96
California,2077,596.21,17.02
California,2078,597.87,17.17
California,2079,613.04,16.9
California,2080,567.59,17.46
California,2081,626.0,17.13
California,2082,590.99,16.5
California,2083,514.77,17.04
California,2084,609.15,17.24
California,2085,586.93,17.16
California,2086,538.52,17.21
California,2087,605.55,16.88
California,2088,499.35,17.28
California,2089,648.45,17.15
California,2090,621.97,17.06
California,2091,615.77,17.26
California,2092,565.28,17.51
California,2093,610.89,17.44
California,2094,531.29,17.5
California,2095,701.75,17.25
California,2096,563.06,17.31
California,2097,583.71,17.68
California,2098,629.98,17.59
California,2099,666.82,17.45
California,2100,654.49,17.36
New York,2006,1253.39,8.38
New York,2007,1198.34,8.34
New York,2008,1289.48,8.54
New York,2009,1265.38,8.38
New York,2010,1244.71,8.28
New York,2011,1154.84,8.65
New York,2012,1237.38,8.6
New York,2013,1187.97,8.17
New York,2014,1260.44,8.55
New York,2015,1227.74,8.42
New York,2016,1263.5,8.78
New York,2017,1307.73,8.67
New York,2018,1315.42,8.41
New York,2019,1245.05,8.53
New York,2020,1200.35,8.57
New York,2021,1226.23,8.5
New York,2022,1323.48,9.11
New York,2023,1253.61,8.98
New York,2024,1279.94,8.9
New York,2025,1219.55,9.16
New York,2026,1213.27,8.88
New York,2027,1270.64,9.23
New York,2028,1221.98,8.71
New York,2029,1285.05,8.87
New York,2030,1216.22,8.86
New York,2031,1252.64,8.39
New York,2032,1201.23,8.82
New York,2033,1284.45,9.32
New York,2034,1217.65,8.98
New York,2035,1258.35,9.24
New York,2036,1296.07,9.17
New York,2037,1352.02,9.07
New York,2038,1204.37,9.0
New York,2039,1240.29,9.43
New York,2040,1238.3,9.09
New York,2041,1340.9,9.26
New York,2042,1237.49,9.47
New York,2043,1285.56,9.77
New York,2044,1249.53,9.4
New York,2045,1229.56,9.97
New York,2046,1261.18,9.68
New York,2047,1267.65,9.46
New York,2048,1232.67,9.67
New York,2049,1220.58,9.84
New York,2050,1274.82,9.87
New York,2051,1225.27,9.48
New York,2052,1268.71,9.68
New York,2053,1271.55,9.73
New York,2054,1314.83,9.82
New York,2055,1249.62,9.7
New York,2056,1301.2,9.52
New York,2057,1228.12,10.04
New York,2058,1360.47,9.98
New York,2059,1318.03,9.68
New York,2060,1212.96,10.31
New York,2061,1359.54,9.63
New York,2062,1228.85,10.17
New York,2063,1333.98,9.94
New York,2064,1211.48,9.77
New York,2065,1203.17,10.12
New York,2066,1232.24,9.78
New York,2067,1317.1,10.33
New York,2068,1328.32,10.39
New York,2069,1318.25,10.77
New York,2070,1309.18,10.63
New York,2071,1279.87,10.39
New York,2072,1332.31,10.35
New York,2073,1219.45,10.65
New York,2074,1284.06,10.36
New York,2075,1337.84,10.74
New York,2076,1341.9,10.73
New York,2077,1230.01,10.64
New York,2078,1284.95,10.79
New York,2079,1299.39,11.32
New York,2080,1301.91,11.69
New York,2081,1350.81,11.01
New York,2082,1386.65,11.13
New York,2083,1335.26,10.94
New York,2084,1208.53,11.06
New York,2085,1325.61,11.36
New York,2086,1274.93,11.6
New York,2087,1293.96,11.7
New York,2088,1244.16,11.58
New York,2089,1359.05,11.04
New York,2090,1316.59,11.1
New York,2091,1378.95,11.6
New York,2092,1318.8,11.47
New York,2093,1268.72,11.26
New York,2094,1317.93,11.77
New York,2095,1321.81,12.15
New York,2096,1357.59,11.59
New York,2097,1371.76,12.0
New York,2098,1318.95,11.4
New York,2099,1289.61,11.93
New York,2100,1264.39,11.71
Oregon,2006,985.81,9.32
Oregon,2007,1083.97,9.07
Oregon,2008,1156.56,8.92
Oregon,2009,1052.16,9.2
Oregon,2010,1056.89,9.32
Oregon,2011,1086.5,9.34
Oregon,2012,1027.31,9.38
Oregon,2013,1094.03,9.07
Oregon,2014,1057.05,9.34
Oregon,2015,1034.81,9.64
Oregon,2016,1037.86,9.83
Oregon,2017,1007.84,9.56
Oregon,2018,1078.02,9.39
Oregon,2019,1104.49,9.5
Oregon,2020,1010.52,9.59
Oregon,2021,1051.05,9.88
Oregon,2022,1053.15,9.58
Oregon,2023,1040.49,9.56
Oregon,2024,1057.46,9.82
Oregon,2025,1022.59,9.49
Oregon,2026,1057.81,9.54
Oregon,2027,1058.44,9.53
Oregon,2028,1017.32,9.98
Oregon,2029,1077.94,9.81
Oregon,2030,925.86,9.67
Oregon,2031,1125.23,9.6
Oregon,2032,992.44,9.63
Oregon,2033,1034.77,9.51
Oregon,2034,978.95,9.78
Oregon,2035,1087.16,9.47
Oregon,2036,1079.96,9.49
Oregon,2037,1071.87,10.04
Oregon,2038,925.81,10.2
Oregon,2039,1032.05,9.82
Oregon,2040,992.86,10.06
Oregon,2041,1082.77,10.23
Oregon,2042,1153.31,10.14
Oregon,2043,1120.87,10.24
Oregon,2044,1052.14,10.37
Oregon,2045,1005.45,10.1
Oregon,2046,1142.19,10.27
Oregon,2047,1128.59,10.37
Oregon,2048,1007.78,10.59
Oregon,2049,1039.36,10.56
Oregon,2050,1066.04,10.13
Oregon,2051,1034.85,10.7
Oregon,2052,1078.66,10.58
Oregon,2053,1093.15,10.35
Oregon,2054,1074.6,10.64
Oregon,2055,1104.87,10.23
Oregon,2056,1028.32,10.42
Oregon,2057,1117.54,10.63
Oregon,2058,1005.81,10.97
Oregon,2059,1114.78,10.65
Oregon,2060,1021.59,10.54
Oregon,2061,995.95,10.66
Oregon,2062,1128.49,10.78
Oregon,2063,1020.84,10.58
Oregon,2064,1023.43,10.88
Oregon,2065,1124.34,11.07
Oregon,2066,977.62,11.02
Oregon,2067,1091.16,11.07
Oregon,2068,1140.49,10.94
Oregon,2069,1102.79,11.36
Oregon,2070,1131.18,11.03
Oregon,2071,1050.7,11.09
Oregon,2072,1150.01,11.05
Oregon,2073,1125.11,11.23
Oregon,2074,1067.42,11.33
Oregon,2075,1052.9,11.39
Oregon,2076,1076.33,11.63
Oregon,2077,983.14,11.51
Oregon,2078,1036.85,11.73
Oregon,2079,1139.94,11.6
Oregon,2080,1045.4,11.89
Oregon,2081,1108.56,11.74
Oregon,2082,1046.72,10.91
Oregon,2083,1073.85,11.73
Oregon,2084,1100.99,12.03
Oregon,2085,1048.49,11.8
Oregon,2086,1058.95,12.01
Oregon,2087,1142.48,11.53
Oregon,2088,1073.67,11.7
Oregon,2089,1165.29,11.95
Oregon,2090,1156.62,11.79
Oregon,2091,1105.83,12.14
Oregon,2092,1047.68,12.19
Oregon,2093,1058.57,12.16
Oregon,2094,1112.63,12.21
Oregon,2095,1106.36,11.87
Oregon,2096,1183.18,12.11
Oregon,2097,1087.35,12.15
Oregon,2098,1117.86,12.22
Oregon,2099,1105.8,12.16
Oregon,2100,1143.85,12.12
Washington,2006,1167.06,10.03
Washington,2007,1161.0,9.82
Washington,2008,1210.38,9.54
Washington,2009,1171.37,9.93
Washington,2010,1194.96,9.96
Washington,2011,1171.04,10.13
Washington,2012,1096.35,10.0
Washington,2013,1205.64,9.6
Washington,2014,1177.85,9.99
Washington,2015,1109.21,10.09
Washington,2016,1179.64,10.44
Washington,2017,1088.72,10.2
Washington,2018,1185.23,10.04
Washington,2019,1249.89,10.18
Washington,2020,1164.67,10.38
Washington,2021,1131.95,10.71
Washington,2022,1066.23,10.21
Washington,2023,1152.5,10.2
Washington,2024,1189.23,10.37
Washington,2025,1169.95,9.95
Washington,2026,1149.67,10.14
Washington,2027,1215.13,10.16
Washington,2028,1099.05,10.71
Washington,2029,1160.64,10.46
Washington,2030,1104.06,10.36
Washington,2031,1158.94,10.19
Washington,2032,1092.67,10.44
Washington,2033,1238.56,10.22
Washington,2034,1111.66,10.5
Washington,2035,1250.18,9.95
Washington,2036,1184.17,10.11
Washington,2037,1155.94,10.52
Washington,2038,1125.54,10.81
Washington,2039,1188.92,10.55
Washington,2040,1138.91,10.62
Washington,2041,1129.81,10.73
Washington,2042,1259.67,10.64
Washington,2043,1206.29,10.9
Washington,2044,1128.45,11.11
Washington,2045,1185.73,10.72
Washington,2046,1181.55,10.84
Washington,2047,1228.23,10.94
Washington,2048,1147.35,11.27
Washington,2049,1135.86,11.33
Washington,2050,1222.04,10.91
Washington,2051,1123.85,11.33
Washington,2052,1241.41,11.48
Washington,2053,1209.89,11.09
Washington,2054,1116.36,11.21
Washington,2055,1220.18,11.09
Washington,2056,1128.58,10.93
Washington,2057,1264.24,11.17
Washington,2058,1135.29,11.53
Washington,2059,1210.54,11.18
Washington,2060,1146.27,11.3
Washington,2061,1165.99,11.44
Washington,2062,1232.84,11.39
Washington,2063,1217.76,11.28
Washington,2064,1137.5,11.37
Washington,2065,1225.05,11.6
Washington,2066,1175.92,11.58
Washington,2067,1199.37,11.75
Washington,2068,1212.1,11.52
Washington,2069,1259.26,12.0
Washington,2070,1237.35,11.51
Washington,2071,1229.65,11.52
Washington,2072,1216.18,11.88
Washington,2073,1201.96,12.07
Washington,2074,1207.74,11.89
Washington,2075,1188.61,11.84
Washington,2076,1181.57,12.31
Washington,2077,1106.01,12.2
Washington,2078,1202.66,12.34
Washington,2079,1230.38,12.31
Washington,2080,1179.93,12.3
Washington,2081,1257.05,12.41
Washington,2082,1198.23,11.64
Washington,2083,1210.77,12.39
Washington,2084,1197.17,12.84
Washington,2085,1121.95,12.52
Washington,2086,1259.84,12.9
Washington,2087,1263.12,12.29
Washington,2088,1254.1,12.28
Washington,2089,1235.51,12.72
Washington,2090,1290.37,12.6
Washington,2091,1204.79,12.95
Washington,2092,1209.76,12.86
Washington,2093,1175.67,13.03
Washington,2094,1272.6,12.95
Washington,2095,1200.63,12.76
Washington,2096,1232.57,12.87
Washington,2097,1227.24,12.36
Washington,2098,1286.83,12.84
Washington,2099,1199.2,12.91
Washington,2100,1203.55,12.68
